"Comuna","Sub.Pacto","Partido","Votacion"
"PALMILLA","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",28
"PALMILLA","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",524
"PALMILLA","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",713
"PALMILLA","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",332
"PALMILLA","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",211
"PALMILLA","SUBPACTO PS E INDEPENDIENTES","INDEPENDIENTE",116
"PALMILLA","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",1147
"PALMILLA",NA,"INDEPENDIENTE",1729
"PALMILLA",NA,"RENOVACION NACIONAL ",366
"PALMILLA",NA,"UNION DEMOCRATA INDEPENDIENTE",511
NA,NA,NA,NA
"PAREDONES","SUBPACTO IC, MAS REGION E INDEPENDIENTES","INDEPENDIENTE",250
"PAREDONES","SUBPACTO MIRAS E INDEPENDIENTES","INDEPENDIENTE",26
"PAREDONES","SUBPACTO MIRAS E INDEPENDIENTES","MOVIMIENTO INDEPENDIENTE REGIONALISTA AGRARIO Y SOCIAL ",292
"PAREDONES","SUBPACTO PCCH E INDEPENDIENTES","INDEPENDIENTE",0
"PAREDONES","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",490
"PAREDONES","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",764
"PAREDONES","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",422
"PAREDONES","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",393
"PAREDONES","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",40
"PAREDONES","SUBPACTO PS E INDEPENDIENTES","INDEPENDIENTE",259
"PAREDONES",NA,"INDEPENDIENTE",288
"PAREDONES",NA,"RENOVACION NACIONAL ",253
"PAREDONES",NA,"UNION DEMOCRATA INDEPENDIENTE",1086
NA,NA,NA,NA
"PERALILLO","SUBPACTO MIRAS E INDEPENDIENTES","INDEPENDIENTE",204
"PERALILLO","SUBPACTO MIRAS E INDEPENDIENTES","MOVIMIENTO INDEPENDIENTE REGIONALISTA AGRARIO Y SOCIAL ",81
"PERALILLO","SUBPACTO PCCH E INDEPENDIENTES","INDEPENDIENTE",146
"PERALILLO","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",29
"PERALILLO","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",466
"PERALILLO","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",155
"PERALILLO","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",340
"PERALILLO","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",28
"PERALILLO","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",99
"PERALILLO","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",1952
"PERALILLO",NA,"INDEPENDIENTE",320
"PERALILLO",NA,"RENOVACION NACIONAL ",769
"PERALILLO",NA,"UNION DEMOCRATA INDEPENDIENTE",840
NA,NA,NA,NA
"PEUMO","SUBPACTO IC, MAS REGION E INDEPENDIENTES","INDEPENDIENTE",855
"PEUMO","SUBPACTO IC, MAS REGION E INDEPENDIENTES","PARTIDO IZQUIERDA CIUDADANA DE CHILE",587
"PEUMO","SUBPACTO MIRAS E INDEPENDIENTES","INDEPENDIENTE",382
"PEUMO","SUBPACTO MIRAS E INDEPENDIENTES","MOVIMIENTO INDEPENDIENTE REGIONALISTA AGRARIO Y SOCIAL ",582
"PEUMO","SUBPACTO PCCH E INDEPENDIENTES","INDEPENDIENTE",1136
"PEUMO","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",216
"PEUMO","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",91
"PEUMO","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",234
"PEUMO","SUBPACTO PS E INDEPENDIENTES","INDEPENDIENTE",106
"PEUMO","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",477
"PEUMO",NA,"INDEPENDIENTE",908
"PEUMO",NA,"RENOVACION NACIONAL ",773
"PEUMO",NA,"UNION DEMOCRATA INDEPENDIENTE",661
NA,NA,NA,NA
"PICHIDEGUA","SUBPACTO MIRAS E INDEPENDIENTES","INDEPENDIENTE",224
"PICHIDEGUA","SUBPACTO MIRAS E INDEPENDIENTES","MOVIMIENTO INDEPENDIENTE REGIONALISTA AGRARIO Y SOCIAL ",747
"PICHIDEGUA","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",22
"PICHIDEGUA","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",1707
"PICHIDEGUA","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",300
"PICHIDEGUA","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",260
"PICHIDEGUA","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",1391
"PICHIDEGUA","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",206
"PICHIDEGUA","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",1015
"PICHIDEGUA",NA,"INDEPENDIENTE",263
"PICHIDEGUA",NA,"RENOVACION NACIONAL ",424
"PICHIDEGUA",NA,"UNION DEMOCRATA INDEPENDIENTE",1199
NA,NA,NA,NA
"PICHILEMU","SUBPACTO HUMANISTAS E INDEPENDIENTES","INDEPENDIENTE",244
"PICHILEMU","SUBPACTO MIRAS E INDEPENDIENTES","MOVIMIENTO INDEPENDIENTE REGIONALISTA AGRARIO Y SOCIAL ",518
"PICHILEMU","SUBPACTO PCCH E INDEPENDIENTES","INDEPENDIENTE",442
"PICHILEMU","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",121
"PICHILEMU","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",152
"PICHILEMU","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",180
"PICHILEMU","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",220
"PICHILEMU","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",254
"PICHILEMU","SUBPACTO PRO E INDEPENDIENTES","INDEPENDIENTE",79
"PICHILEMU","SUBPACTO PRO E INDEPENDIENTES","PARTIDO PROGRESISTA ",789
"PICHILEMU","SUBPACTO PS E INDEPENDIENTES","INDEPENDIENTE",808
"PICHILEMU","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",894
"PICHILEMU",NA,"INDEPENDIENTE",329
"PICHILEMU",NA,"RENOVACION NACIONAL ",946
"PICHILEMU",NA,"UNION DEMOCRATA INDEPENDIENTE",2016
NA,NA,NA,NA
"PLACILLA","SUBPACTO MIRAS E INDEPENDIENTES","INDEPENDIENTE",1000
"PLACILLA","SUBPACTO MIRAS E INDEPENDIENTES","MOVIMIENTO INDEPENDIENTE REGIONALISTA AGRARIO Y SOCIAL ",135
"PLACILLA","SUBPACTO PCCH E INDEPENDIENTES","INDEPENDIENTE",14
"PLACILLA","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",30
"PLACILLA","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",1040
"PLACILLA","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",219
"PLACILLA","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",245
"PLACILLA","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",231
"PLACILLA","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",253
"PLACILLA","SUBPACTO PS E INDEPENDIENTES","INDEPENDIENTE",166
"PLACILLA","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",501
"PLACILLA",NA,"INDEPENDIENTE",191
"PLACILLA",NA,"RENOVACION NACIONAL ",579
"PLACILLA",NA,"UNION DEMOCRATA INDEPENDIENTE",959
NA,NA,NA,NA
"PUMANQUE","SUBPACTO EVOPOLI E INDEPENDIENTES","INDEPENDIENTE",205
"PUMANQUE","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",6
"PUMANQUE","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",528
"PUMANQUE","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",188
"PUMANQUE","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",73
"PUMANQUE","SUBPACTO PS E INDEPENDIENTES","INDEPENDIENTE",28
"PUMANQUE","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",217
"PUMANQUE",NA,"INDEPENDIENTE",271
"PUMANQUE",NA,"RENOVACION NACIONAL ",989
"PUMANQUE",NA,"UNION DEMOCRATA INDEPENDIENTE",200
NA,NA,NA,NA
"QUINTA DE TILCOCO","SUBPACTO PCCH E INDEPENDIENTES","INDEPENDIENTE",235
"QUINTA DE TILCOCO","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",116
"QUINTA DE TILCOCO","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",1611
"QUINTA DE TILCOCO","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",398
"QUINTA DE TILCOCO","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",793
"QUINTA DE TILCOCO","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",171
"QUINTA DE TILCOCO","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",351
"QUINTA DE TILCOCO","SUBPACTO PS E INDEPENDIENTES","INDEPENDIENTE",48
"QUINTA DE TILCOCO","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",280
"QUINTA DE TILCOCO",NA,"INDEPENDIENTE",170
"QUINTA DE TILCOCO",NA,"RENOVACION NACIONAL ",1849
"QUINTA DE TILCOCO",NA,"UNION DEMOCRATA INDEPENDIENTE",534
NA,NA,NA,NA
"RANCAGUA","SUBPACTO EVOPOLI E INDEPENDIENTES","INDEPENDIENTE",710
"RANCAGUA","SUBPACTO EVOPOLI E INDEPENDIENTES","PARTIDO EVOLUCION POLITICA ",736
"RANCAGUA","SUBPACTO HUMANISTAS E INDEPENDIENTES","INDEPENDIENTE",426
"RANCAGUA","SUBPACTO HUMANISTAS E INDEPENDIENTES","PARTIDO HUMANISTA",651
"RANCAGUA","SUBPACTO IC, MAS REGION E INDEPENDIENTES","INDEPENDIENTE",853
"RANCAGUA","SUBPACTO IC, MAS REGION E INDEPENDIENTES","PARTIDO IZQUIERDA CIUDADANA DE CHILE",288
"RANCAGUA","SUBPACTO MIRAS E INDEPENDIENTES","INDEPENDIENTE",269
"RANCAGUA","SUBPACTO PCCH E INDEPENDIENTES","INDEPENDIENTE",132
"RANCAGUA","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",3833
"RANCAGUA","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",455
"RANCAGUA","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",3408
"RANCAGUA","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",1586
"RANCAGUA","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",895
"RANCAGUA","SUBPACTO PRO E INDEPENDIENTES","INDEPENDIENTE",516
"RANCAGUA","SUBPACTO PRO E INDEPENDIENTES","PARTIDO PROGRESISTA ",1148
"RANCAGUA","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",1144
"RANCAGUA","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",273
"RANCAGUA","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",6799
"RANCAGUA",NA,"INDEPENDIENTE",14541
"RANCAGUA",NA,"RENOVACION NACIONAL ",5231
"RANCAGUA",NA,"UNION DEMOCRATA INDEPENDIENTE",3246
NA,NA,NA,NA
"RENGO","SUBPACTO HUMANISTAS E INDEPENDIENTES","PARTIDO HUMANISTA",2329
"RENGO","SUBPACTO IC, MAS REGION E INDEPENDIENTES","INDEPENDIENTE",1266
"RENGO","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",1051
"RENGO","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",477
"RENGO","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",2952
"RENGO","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",960
"RENGO","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",494
"RENGO","SUBPACTO PRO E INDEPENDIENTES","INDEPENDIENTE",295
"RENGO","SUBPACTO PRO E INDEPENDIENTES","PARTIDO PROGRESISTA ",153
"RENGO","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",318
"RENGO","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",672
"RENGO","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",2476
"RENGO",NA,"INDEPENDIENTE",1006
"RENGO",NA,"RENOVACION NACIONAL ",2451
"RENGO",NA,"UNION DEMOCRATA INDEPENDIENTE",871
NA,NA,NA,NA
"REQUINOA","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",120
"REQUINOA","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",464
"REQUINOA","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",1471
"REQUINOA","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",375
"REQUINOA","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",493
"REQUINOA","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",1222
"REQUINOA",NA,"INDEPENDIENTE",255
"REQUINOA",NA,"RENOVACION NACIONAL ",2443
"REQUINOA",NA,"UNION DEMOCRATA INDEPENDIENTE",1680
NA,NA,NA,NA
"SAN FERNANDO","SUBPACTO EVOPOLI E INDEPENDIENTES","INDEPENDIENTE",668
"SAN FERNANDO","SUBPACTO EVOPOLI E INDEPENDIENTES","PARTIDO EVOLUCION POLITICA ",1560
"SAN FERNANDO","SUBPACTO IC, MAS REGION E INDEPENDIENTES","INDEPENDIENTE",3950
"SAN FERNANDO","SUBPACTO MIRAS E INDEPENDIENTES","INDEPENDIENTE",417
"SAN FERNANDO","SUBPACTO MIRAS E INDEPENDIENTES","MOVIMIENTO INDEPENDIENTE REGIONALISTA AGRARIO Y SOCIAL ",1546
"SAN FERNANDO","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",762
"SAN FERNANDO","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",1713
"SAN FERNANDO","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",844
"SAN FERNANDO","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",1598
"SAN FERNANDO","SUBPACTO PRO E INDEPENDIENTES","INDEPENDIENTE",120
"SAN FERNANDO","SUBPACTO PRO E INDEPENDIENTES","PARTIDO PROGRESISTA ",926
"SAN FERNANDO","SUBPACTO PS E INDEPENDIENTES","INDEPENDIENTE",310
"SAN FERNANDO","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",1437
"SAN FERNANDO",NA,"INDEPENDIENTE",1150
"SAN FERNANDO",NA,"RENOVACION NACIONAL ",2795
"SAN FERNANDO",NA,"UNION DEMOCRATA INDEPENDIENTE",3277
NA,NA,NA,NA
"SAN VICENTE","SUBPACTO MIRAS E INDEPENDIENTES","INDEPENDIENTE",820
"SAN VICENTE","SUBPACTO MIRAS E INDEPENDIENTES","MOVIMIENTO INDEPENDIENTE REGIONALISTA AGRARIO Y SOCIAL ",1533
"SAN VICENTE","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",358
"SAN VICENTE","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",2412
"SAN VICENTE","SUBPACTO PRO E INDEPENDIENTES","INDEPENDIENTE",185
"SAN VICENTE","SUBPACTO PRO E INDEPENDIENTES","PARTIDO PROGRESISTA ",206
"SAN VICENTE","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",945
"SAN VICENTE","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",114
"SAN VICENTE","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",1998
"SAN VICENTE",NA,"INDEPENDIENTE",3254
"SAN VICENTE",NA,"RENOVACION NACIONAL ",2109
"SAN VICENTE",NA,"UNION DEMOCRATA INDEPENDIENTE",2416
NA,NA,NA,NA
"SANTA CRUZ","SUBPACTO EVOPOLI E INDEPENDIENTES","INDEPENDIENTE",184
"SANTA CRUZ","SUBPACTO MIRAS E INDEPENDIENTES","INDEPENDIENTE",1360
"SANTA CRUZ","SUBPACTO MIRAS E INDEPENDIENTES","MOVIMIENTO INDEPENDIENTE REGIONALISTA AGRARIO Y SOCIAL ",629
"SANTA CRUZ","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",801
"SANTA CRUZ","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",810
"SANTA CRUZ","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",354
"SANTA CRUZ","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",305
"SANTA CRUZ","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",43
"SANTA CRUZ","SUBPACTO PRO E INDEPENDIENTES","PARTIDO PROGRESISTA ",329
"SANTA CRUZ","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",809
"SANTA CRUZ","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",526
"SANTA CRUZ","SUBPACTO PS E INDEPENDIENTES","INDEPENDIENTE",784
"SANTA CRUZ","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",949
"SANTA CRUZ",NA,"INDEPENDIENTE",251
"SANTA CRUZ",NA,"RENOVACION NACIONAL ",2186
"SANTA CRUZ",NA,"UNION DEMOCRATA INDEPENDIENTE",2117
NA,NA,NA,NA
NA,NA,NA,NA
"CAUQUENES","SUBPACTO EVOPOLI E INDEPENDIENTES","INDEPENDIENTE",342
"CAUQUENES","SUBPACTO IC, MAS REGION E INDEPENDIENTES","INDEPENDIENTE",255
"CAUQUENES","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",150
"CAUQUENES","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",2593
"CAUQUENES","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",1678
"CAUQUENES","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",358
"CAUQUENES","SUBPACTO PRO E INDEPENDIENTES","INDEPENDIENTE",97
"CAUQUENES","SUBPACTO PRO E INDEPENDIENTES","PARTIDO PROGRESISTA ",1034
"CAUQUENES","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",1670
"CAUQUENES","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",937
"CAUQUENES","SUBPACTO PS E INDEPENDIENTES","INDEPENDIENTE",513
"CAUQUENES","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",1371
"CAUQUENES",NA,"INDEPENDIENTE",1662
"CAUQUENES",NA,"RENOVACION NACIONAL ",1571
"CAUQUENES",NA,"UNION DEMOCRATA INDEPENDIENTE",2199
NA,NA,NA,NA
"CHANCO","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",33
"CHANCO","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",1398
"CHANCO","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",326
"CHANCO","SUBPACTO PRO E INDEPENDIENTES","INDEPENDIENTE",46
"CHANCO","SUBPACTO PRO E INDEPENDIENTES","PARTIDO PROGRESISTA ",18
"CHANCO","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",411
"CHANCO","SUBPACTO PS E INDEPENDIENTES","INDEPENDIENTE",395
"CHANCO","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",295
"CHANCO",NA,"INDEPENDIENTE",823
"CHANCO",NA,"RENOVACION NACIONAL ",1445
"CHANCO",NA,"UNION DEMOCRATA INDEPENDIENTE",599
NA,NA,NA,NA
"COLBUN","SUBPACTO EVOPOLI E INDEPENDIENTES","PARTIDO EVOLUCION POLITICA ",1170
"COLBUN","SUBPACTO HUMANISTAS E INDEPENDIENTES","PARTIDO HUMANISTA",33
"COLBUN","SUBPACTO IC, MAS REGION E INDEPENDIENTES","INDEPENDIENTE",45
"COLBUN","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",410
"COLBUN","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",194
"COLBUN","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",1139
"COLBUN","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",129
"COLBUN","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",593
"COLBUN","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",823
"COLBUN","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",362
"COLBUN","SUBPACTO PS E INDEPENDIENTES","INDEPENDIENTE",998
"COLBUN","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",263
"COLBUN",NA,"INDEPENDIENTE",1638
"COLBUN",NA,"RENOVACION NACIONAL ",375
"COLBUN",NA,"UNION DEMOCRATA INDEPENDIENTE",1287
NA,NA,NA,NA
"CONSTITUCION","SUBPACTO EVOPOLI E INDEPENDIENTES","PARTIDO EVOLUCION POLITICA ",396
"CONSTITUCION","SUBPACTO HUMANISTAS E INDEPENDIENTES","INDEPENDIENTE",839
"CONSTITUCION","SUBPACTO IC, MAS REGION E INDEPENDIENTES","INDEPENDIENTE",30
"CONSTITUCION","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",989
"CONSTITUCION","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",335
"CONSTITUCION","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",2348
"CONSTITUCION","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",71
"CONSTITUCION","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",1624
"CONSTITUCION","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",1175
"CONSTITUCION","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",1094
"CONSTITUCION","SUBPACTO PS E INDEPENDIENTES","INDEPENDIENTE",102
"CONSTITUCION",NA,"INDEPENDIENTE",1500
"CONSTITUCION",NA,"RENOVACION NACIONAL ",3347
"CONSTITUCION",NA,"UNION DEMOCRATA INDEPENDIENTE",3897
NA,NA,NA,NA
"CUREPTO","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",280
"CUREPTO","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",709
"CUREPTO","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",890
"CUREPTO","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",171
"CUREPTO","SUBPACTO PRI E INDEPENDIENTES","INDEPENDIENTE",219
"CUREPTO","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",45
"CUREPTO","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",285
"CUREPTO","SUBPACTO PS E INDEPENDIENTES","INDEPENDIENTE",366
"CUREPTO","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",178
"CUREPTO",NA,"INDEPENDIENTE",457
"CUREPTO",NA,"RENOVACION NACIONAL ",839
"CUREPTO",NA,"UNION DEMOCRATA INDEPENDIENTE",925
NA,NA,NA,NA
"CURICO","SUBPACTO EVOPOLI E INDEPENDIENTES","INDEPENDIENTE",795
"CURICO","SUBPACTO EVOPOLI E INDEPENDIENTES","PARTIDO EVOLUCION POLITICA ",282
"CURICO","SUBPACTO HUMANISTAS E INDEPENDIENTES","INDEPENDIENTE",844
"CURICO","SUBPACTO HUMANISTAS E INDEPENDIENTES","PARTIDO HUMANISTA",712
"CURICO","SUBPACTO PCCH E INDEPENDIENTES","INDEPENDIENTE",239
"CURICO","SUBPACTO PCCH E INDEPENDIENTES","PARTIDO COMUNISTA DE CHILE ",1264
"CURICO","SUBPACTO PDC E INDEPENDIENTES","INDEPENDIENTE",251
"CURICO","SUBPACTO PDC E INDEPENDIENTES","PARTIDO DEMOCRATA CRISTIANO",6092
"CURICO","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",357
"CURICO","SUBPACTO PPD E INDEPENDIENTES","PARTIDO POR LA DEMOCRACIA",2338
"CURICO","SUBPACTO PRI E INDEPENDIENTES","INDEPENDIENTE",997
"CURICO","SUBPACTO PRO E INDEPENDIENTES","INDEPENDIENTE",390
"CURICO","SUBPACTO PRO E INDEPENDIENTES","PARTIDO PROGRESISTA ",1755
"CURICO","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",1289
"CURICO","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",3979
"CURICO","SUBPACTO PS E INDEPENDIENTES","PARTIDO SOCIALISTA DE CHILE ",3687
"CURICO",NA,"INDEPENDIENTE",2805
"CURICO",NA,"RENOVACION NACIONAL ",4226
"CURICO",NA,"UNION DEMOCRATA INDEPENDIENTE",5636
NA,NA,NA,NA
"EMPEDRADO","SUBPACTO PPD E INDEPENDIENTES","INDEPENDIENTE",668
"EMPEDRADO","SUBPACTO PRO E INDEPENDIENTES","PARTIDO PROGRESISTA ",267
"EMPEDRADO","SUBPACTO PRSD E INDEPENDIENTES","INDEPENDIENTE",61
"EMPEDRADO","SUBPACTO PRSD E INDEPENDIENTES","PARTIDO RADICAL SOCIALDEMOCRATA",387
"EMPEDRADO","SUBPACTO PS E INDEPENDIENTES","INDEPENDIENTE",14
"EMPEDRADO",NA,"INDEPENDIENTE",1009
"EMPEDRADO",NA,"RENOVACION NACIONAL ",403
